A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
AT1G72510.1	Gelse_mpi.v2.2_MPIG042900.2	CRO_01G001220.3	Protein of unknown function (DUF1677)	NA
AT1G54100.1	Gelse_mpi.v2.2_MPIG042890.1	CRO_01G001230.2	aldehyde dehydrogenase 7B4	Aldehyde dehydrogenase
AT1G54110.1	NA	NA	Membrane fusion protein Use1	NA
AT3G14070.1	Gelse_mpi.v2.2_MPIG042880.4	CRO_01G001240.1	cation exchanger 9	Involved in cation (K, Na and Mn) homeostasis and transport
AT1G54115.1	Gelse_mpi.v2.2_MPIG042880.4	CRO_01G001240.1	cation calcium exchanger 4	Involved in cation (Na and K) homeostasis.
AT1G17410.1	Gelse_mpi.v2.2_MPIG042950.1	NA	Nucleoside diphosphate kinase family protein	NA
AT3G14067.1	Gelse_mpi.v2.2_MPIG042870.1	CRO_01G001250.1	Subtilase family protein	NA
NA	Gelse_mpi.v2.2_MPIG042860.1	NA	NA	NA
AT3G14060.1	Gelse_mpi.v2.2_MPIG042850.1	CRO_01G001270.1	NA	NA
AT1G54120.1	Gelse_mpi.v2.2_MPIG042850.1	CRO_01G001270.1	NA	NA
NA	NA	CRO_01G001280.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG042830.1	CRO_01G001310.1	NA	NA
AT1G17420.1	Gelse_mpi.v2.2_MPIG042840.1	CRO_01G001330.1	lipoxygenase 3	Lipoxygenase
AT1G72520.1	Gelse_mpi.v2.2_MPIG042840.1	CRO_01G001330.1	PLAT/LH2 domain-containing lipoxygenase family protein	NA
NA	NA	CRO_01G001350.1	NA	NA
AT1G72530.2	NA	NA	plastid developmental protein DAG, putative	NA
AT1G72540.1	NA	NA	Protein kinase superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG042700.1	CRO_01G001400.1	NA	NA
NA	NA	CRO_01G001410.1	NA	NA
AT3G13970.1	Gelse_mpi.v2.2_MPIG042690.1	CRO_01G001420.1	Ubiquitin-like superfamily protein	NA
AT1G54210.1	Gelse_mpi.v2.2_MPIG042690.1	CRO_01G001420.1	Ubiquitin-like superfamily protein	NA
AT1G72550.1	NA	NA	tRNA synthetase beta subunit family protein	NA
NA	Gelse_mpi.v2.2_MPIG042680.2	CRO_01G001430.1	NA	NA
NA	NA	CRO_01G001440.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG042820.1	CRO_01G001450.1	NA	NA
AT1G72560.1	Gelse_mpi.v2.2_MPIG042810.12	CRO_01G001460.9	ARM repeat superfamily protein	Encodes a karyopherin, specifically the Arabidopsis ortholog of LOS1/XPOT, a protein that mediates nuclear export of tRNAs in yeast and mammals.  PSD is capable of rescuing the tRNA export defect of los1 in S. cerevisiae. psd mutants display disrupted initiation of the shoot apical meristem and delay leaf initiation after germination; they also display delayed transition from vegetative to reproductive development.
AT3G14050.1	Gelse_mpi.v2.2_MPIG042800.1	CRO_01G001470.1	RELA/SPOT homolog 2	NA
AT1G54130.1	Gelse_mpi.v2.2_MPIG042800.1	CRO_01G001470.1	RELA/SPOT homolog 3	NA
AT1G54140.1	Gelse_mpi.v2.2_MPIG042790.1	CRO_01G001480.1	TATA binding protein associated factor 21kDa subunit	putative TATA binding protein associated factor 21kDa
AT1G72580.1	NA	NA	NA	NA
NA	NA	CRO_01G001490.2	NA	NA
AT1G17430.1	Gelse_mpi.v2.2_MPIG042770.3	CRO_01G001500.1	alpha/beta-Hydrolases superfamily protein	NA
AT1G72620.1	Gelse_mpi.v2.2_MPIG042770.3	CRO_01G001500.1	alpha/beta-Hydrolases superfamily protein	NA
AT1G72590.1	NA	NA	3-oxo-5-alpha-steroid 4-dehydrogenase family protein	NA
AT3G14040.1	NA	NA	Pectin lyase-like superfamily protein	NA
AT1G54150.1	Gelse_mpi.v2.2_MPIG042760.1	CRO_01G001510.4	E3 Ubiquitin ligase family protein	NA
AT3G13840.1	Gelse_mpi.v2.2_MPIG042750.1	CRO_01G001520.1	GRAS family transcription factor	NA
AT1G72610.1	Gelse_mpi.v2.2_MPIG042730.1	CRO_01G001530.1	germin-like protein 1	germin-like protein (GLP1)
AT1G17440.1	Gelse_mpi.v2.2_MPIG042670.4	NA	Transcription initiation factor TFIID subunit A	Encodes one of two Arabidopsis proteins with similarity to the TBP-associated factor TAF12.  The gene product is an EIN3-interacting TFIID transcription factor required for proper ethylene response, including ERF1 induction.  Loss of function mutants show enhanced response to ethylene. Located in nucleus and expressed throughout the plant. Required for ERF1 expression.
AT1G72600.1	Gelse_mpi.v2.2_MPIG042720.3	CRO_01G001540.1	hydroxyproline-rich glycoprotein family protein	NA
AT1G72570.1	Gelse_mpi.v2.2_MPIG042710.2	CRO_01G001550.1	Integrase-type DNA-binding superfamily protein	NA
AT1G17450.2	NA	NA	B-block binding subunit of TFIIIC	NA
NA	Gelse_mpi.v2.2_MPIG042660.1	NA	NA	NA
AT1G17455.1	Gelse_mpi.v2.2_MPIG042650.1	CRO_01G001600.1	ELF4-like 4	NA
AT1G72630.1	Gelse_mpi.v2.2_MPIG042650.1	CRO_01G001600.1	ELF4-like 2	NA
AT1G72640.1	Gelse_mpi.v2.2_MPIG042640.1	CRO_01G001610.3	NAD(P)-binding Rossmann-fold superfamily protein	NA
AT1G72645.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042630.1	CRO_01G001620.1	NA	NA
AT1G17460.2	NA	NA	TRF-like 3	Arabidopsis thaliana myb family transcription factor (At1g17460)
AT1G72650.2	NA	NA	TRF-like 6	Arabidopsis thaliana myb family transcription factor (At1g72650)
AT1G17470.1	Gelse_mpi.v2.2_MPIG042620.1	CRO_01G001630.1	developmentally regulated G-protein 1	Encodes a member of the DRG (developmentally regulated G-protein) family expressed throughout the plant, with highest expression in actively growing tissues. Has GTPase activity.
AT1G72660.1	Gelse_mpi.v2.2_MPIG042620.1	CRO_01G001630.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG042610.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042600.1	NA	NA	NA
AT3G13980.1	Gelse_mpi.v2.2_MPIG042590.1	CRO_01G001640.1	NA	NA
AT1G54200.1	Gelse_mpi.v2.2_MPIG042590.1	CRO_01G001640.1	NA	NA
AT3G13990.1	Gelse_mpi.v2.2_MPIG042580.8	CRO_01G001650.1	Kinase-related protein of unknown function (DUF1296)	NA
AT3G14000.1	Gelse_mpi.v2.2_MPIG042570.4	CRO_01G001660.3	DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein	Belongs to five-member BRX gene family. Arabidopsis BRX genes share high levels of similarity among each others, with several conserved domains. The most distinct is BRX domain - highly conserved in all BRX genes among distantly related species. This protein-protein interaction domain is required and sufficient for BRX activity.
AT1G54180.1	Gelse_mpi.v2.2_MPIG042570.4	CRO_01G001660.3	BREVIS RADIX-like 3	Belongs to five-member BRX gene family. Arabidopsis BRX genes share high levels of similarity among each others, with several conserved domains. The most distinct is BRX domain - highly conserved in all BRX genes among distantly related species. This protein-protein interaction domain is required and sufficient for BRX activity.
NA	Gelse_mpi.v2.2_MPIG042560.6	CRO_01G001670.1	NA	NA
AT3G14010.1	Gelse_mpi.v2.2_MPIG042550.4	CRO_01G001680.1	CTC-interacting domain 4	hydroxyproline-rich glycoprotein family protein, similar to Mrs16p (GI:2737884) (Saccharomyces cerevisiae); weak similarity to ataxin-2 related protein (GI:1679686) (Homo sapiens). Included in a family of CTC interacting domain proteins found to interact with PAB2.
AT1G54170.1	Gelse_mpi.v2.2_MPIG042550.4	CRO_01G001680.1	CTC-interacting domain 3	ataxin-2-related, similar to SCA2 (GI:1770390) (Homo sapiens); similar to ataxin-2 (GI:3005020) (Mus musculus). Member of a family of PAM2 motif containing proteins.
AT3G14020.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2	nuclear factor Y, subunit A6	NA
AT1G17590.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2	nuclear factor Y, subunit A8	NA
AT1G54160.1	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2	nuclear factor Y, subunit A5	Encodes a member of the CCAAT-binding transcription factor (CBF-B/NF-YA) family. Expression is upregulated in response to ABA and drought. This regulation appears to be mediated by MIR169A which is downregulated in  response to drought. NFYA5 is a target of MIR169A. Loss of function mutations are hypersensitive to drought.
AT1G72830.2	Gelse_mpi.v2.2_MPIG042540.9	CRO_01G001690.2	nuclear factor Y, subunit A3	Encodes a subunit of CCAAT-binding complex, binds to CCAAT box motif present in some plant promoter sequences. One of three members of this class (HAP2A, HAP2B, HAP2C), it is expressed in vegetative and reproductive tissues.
NA	NA	CRO_01G001700.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG042530.1	NA	NA	NA
AT1G72820.1	Gelse_mpi.v2.2_MPIG042520.1	CRO_01G001710.1	Mitochondrial substrate carrier family protein	NA
AT1G72810.1	Gelse_mpi.v2.2_MPIG042500.1	CRO_01G001720.1	Pyridoxal-5'-phosphate-dependent enzyme family protein	NA
NA	Gelse_mpi.v2.2_MPIG042490.1	CRO_01G001740.1	NA	NA
AT3G13960.1	NA	NA	growth-regulating factor 5	Growth regulating factor encoding transcription activator. One of the nine members of a GRF gene family, containing nuclear targeting domain. Involved in leaf development and expressed in root, shoot and flower.
AT1G54215.1	NA	NA	proline-rich family protein	NA
NA	Gelse_mpi.v2.2_MPIG042480.1	CRO_01G001750.1	NA	NA
AT3G13950.1	NA	NA	NA	NA
AT1G72790.1	Gelse_mpi.v2.2_MPIG042470.1	CRO_01G001760.2	hydroxyproline-rich glycoprotein family protein	NA
AT1G54217.2	Gelse_mpi.v2.2_MPIG042460.1	CRO_01G001770.2	Ribosomal protein L18ae family	NA
AT3G13940.1	Gelse_mpi.v2.2_MPIG042450.4	CRO_01G001780.3	DNA binding;DNA-directed RNA polymerases	NA
AT1G17550.1	Gelse_mpi.v2.2_MPIG042440.1	CRO_01G001790.1	homology to ABI2	Protein Phosphatase 2C
AT1G72770.1	Gelse_mpi.v2.2_MPIG042440.1	CRO_01G001790.1	homology to ABI1	mutant has ABA hypersensitive inhibition of seed germination; Protein Phosphatase 2C; regulates the activation of the Snf1-related kinase OST1 by abscisic acid.
NA	Gelse_mpi.v2.2_MPIG042430.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042420.1	CRO_01G001800.1	NA	NA
AT1G72760.1	NA	NA	Protein kinase superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG042410.1	CRO_01G001810.2	NA	NA
AT1G17530.1	Gelse_mpi.v2.2_MPIG042400.1	CRO_01G001820.1	translocase of inner mitochondrial membrane 23	Encodes a translocase of inner mitochondrial membrane.
AT1G72750.1	Gelse_mpi.v2.2_MPIG042400.1	CRO_01G001820.1	translocase inner membrane subunit 23-2	NA
AT3G13930.1	Gelse_mpi.v2.2_MPIG042390.1	CRO_01G001830.1	Dihydrolipoamide acetyltransferase, long form protein	NA
AT1G54220.1	Gelse_mpi.v2.2_MPIG042390.1	CRO_01G001830.1	Dihydrolipoamide acetyltransferase, long form protein	NA
NA	NA	CRO_01G001840.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG042380.1	NA	NA	NA
NA	NA	CRO_01G001850.1	NA	NA
AT1G17520.1	NA	NA	Homeodomain-like/winged-helix DNA-binding family protein	NA
AT1G72740.1	NA	NA	Homeodomain-like/winged-helix DNA-binding family protein	NA
NA	NA	CRO_01G001880.2	NA	NA
NA	Gelse_mpi.v2.2_MPIG042360.1	NA	NA	NA
AT1G72720.1	NA	NA	Protein of unknown function (DUF3511)	NA
AT3G13920.2	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1	eukaryotic translation initiation factor 4A1	eukaryotic translation initiation factor 4A-1
AT1G54270.1	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1	eif4a-2	member of eIF4A - eukaryotic initiation factor 4A
AT1G72730.1	Gelse_mpi.v2.2_MPIG042370.1	CRO_01G001890.1	DEA(D/H)-box RNA helicase family protein	NA
AT3G13910.1	Gelse_mpi.v2.2_MPIG042350.1	CRO_01G001900.1	Protein of unknown function (DUF3511)	NA
AT1G72710.1	Gelse_mpi.v2.2_MPIG042340.2	CRO_01G001910.2	casein kinase 1-like protein 2	Encodes a member of the casein kinase 1 protein family that is localized to the cytoplasm and nucleus.
AT3G13900.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	NA
AT1G17500.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	NA
AT1G54280.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	NA
AT1G72700.1	Gelse_mpi.v2.2_MPIG042330.1	CRO_01G001920.2	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	NA
NA	Gelse_mpi.v2.2_MPIG042320.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042310.3	CRO_01G001930.2	NA	NA
AT3G13898.1	Gelse_mpi.v2.2_MPIG042300.1	CRO_01G001940.1	NA	NA
AT1G17490.1	Gelse_mpi.v2.2_MPIG042290.1	CRO_01G001950.1	NA	NA
AT1G72690.1	Gelse_mpi.v2.2_MPIG042290.1	CRO_01G001950.1	NA	NA
AT1G72680.1	NA	NA	cinnamyl-alcohol dehydrogenase	NA
NA	Gelse_mpi.v2.2_MPIG042280.1	CRO_01G001960.1	NA	NA
AT1G17480.1	Gelse_mpi.v2.2_MPIG042270.2	CRO_01G001970.2	IQ-domain 7	NA
AT1G72670.1	Gelse_mpi.v2.2_MPIG042270.2	CRO_01G001970.2	IQ-domain 8	NA
AT3G13890.1	Gelse_mpi.v2.2_MPIG042260.1	CRO_01G001980.1	myb domain protein 26	Encodes a putative transcription factor (MYB26).  Mutants produces fertile pollen but plants are sterile because anthers do not dehisce. The cellulosic secondary wall thickenings are not formed in the endothecium as they are in non-mutant plants.
AT3G13882.2	Gelse_mpi.v2.2_MPIG042250.2	CRO_01G001990.1	Ribosomal protein L34	NA
AT1G72880.2	Gelse_mpi.v2.2_MPIG042240.1	CRO_01G002000.4	Survival protein SurE-like phosphatase/nucleotidase	NA
AT1G17650.1	NA	CRO_01G002010.1	glyoxylate reductase 2	Glyoxylate reductase located in chloroplasts.
AT1G17640.1	Gelse_mpi.v2.2_MPIG042230.1	CRO_01G002020.1	RNA-binding (RRM/RBD/RNP motifs) family protein	NA
AT1G72910.1	NA	NA	Toll-Interleukin-Resistance (TIR) domain-containing protein	NA
AT3G13780.1	NA	CRO_01G002030.1	SMAD/FHA domain-containing protein 	NA
NA	Gelse_mpi.v2.2_MPIG042220.8	CRO_01G002040.3	NA	NA
AT3G13790.1	Gelse_mpi.v2.2_MPIG042200.2	CRO_01G002050.1	Glycosyl hydrolases family 32 protein	Encodes a protein with invertase activity.
AT1G55120.1	Gelse_mpi.v2.2_MPIG042200.2	CRO_01G002050.1	beta-fructofuranosidase 5	Encodes a protein with fructan exohydrolase (FEH) activity acting on levan-type fructans (6-FEH, levanase). The enzyme does not have invertase activity.
NA	Gelse_mpi.v2.2_MPIG042190.1	NA	NA	NA
AT3G13800.1	Gelse_mpi.v2.2_MPIG042160.2	NA	Metallo-hydrolase/oxidoreductase superfamily protein	NA
AT3G13810.2	Gelse_mpi.v2.2_MPIG042140.1	NA	indeterminate(ID)-domain 11	NA
AT1G55110.1	Gelse_mpi.v2.2_MPIG042140.1	NA	indeterminate(ID)-domain 7	NA
NA	Gelse_mpi.v2.2_MPIG040950.1,Gelse_mpi.v2.2_MPIG042150.1	CRO_01G002060.1	NA	NA
AT1G72980.1	NA	NA	LOB domain-containing protein 7	NA
AT1G72990.1	Gelse_mpi.v2.2_MPIG042130.1	CRO_01G002070.1	beta-galactosidase 17	NA
AT3G13845.1	NA	NA	NA	NA
AT3G13850.1	Gelse_mpi.v2.2_MPIG042120.1	CRO_01G002080.1	LOB domain-containing protein 22	NA
AT1G17630.1	NA	NA	Pentatricopeptide repeat (PPR-like) superfamily protein	NA
AT3G13860.1	Gelse_mpi.v2.2_MPIG042110.1	CRO_01G002090.1	heat shock protein 60-3A	NA
NA	Gelse_mpi.v2.2_MPIG042100.1	NA	NA	NA
AT1G17620.1	Gelse_mpi.v2.2_MPIG042090.1	CRO_01G002100.1	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	NA
NA	Gelse_mpi.v2.2_MPIG042080.2	CRO_01G002110.2	NA	NA
AT1G72970.1	Gelse_mpi.v2.2_MPIG042070.3	CRO_01G002120.1	Glucose-methanol-choline (GMC) oxidoreductase family protein	Originally identified as a mutation that causes floral organs to fuse together. About 10-20% of mutants also have defects in ovules. Mutants have reduced fertility most likely as because of fusions that pistil emergence. The protein has similarity to the mandelonitrile lyase family of FAD containing oxidoreductases and is predicted to be secreted (SignalP).It is expressed in all tissue layers of roots, inflorescences, stems, leaves, and flowers and is also expressed in siliques. Expression is highest in inflorescence and flower tissue.Transmission of mutant alleles to the progeny shows non mendelian segregation- a percentage of mutant alleles revert back to a previous parental (e.g. grandparental) wild type allele. It has been suggested that an RNA template driven or other extra-DNA genomic mechanism may be responsible for the non-mendelian inheritance of HTH. Reversion events in alleles at other loci have also been observed to occur in plants with an hth mutant background indicating a genome wide effect.
AT3G13870.1	Gelse_mpi.v2.2_MPIG042060.2	CRO_01G002130.3	Root hair defective 3 GTP-binding protein (RHD3)	required for regulated cell expansion and normal root hair development. Encodes an evolutionarily conserved protein with putative GTP-binding motifs that is implicated in the control of vesicle trafficking between the endoplasmic reticulum and the Golgi compartments.
AT1G72960.1	Gelse_mpi.v2.2_MPIG042060.2	CRO_01G002130.3	Root hair defective 3 GTP-binding protein (RHD3)	NA
NA	Gelse_mpi.v2.2_MPIG042050.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG042040.4	CRO_01G002140.2	NA	NA
AT3G13772.1	Gelse_mpi.v2.2_MPIG042030.1	CRO_01G002150.1	transmembrane nine 7	Encodes an Arabidopsis Transmembrane nine (TMN) protein.  Transmembrane nine (TM9) proteins are localized in the secretory pathway of eukaryotic cells and are involved in cell adhesion and phagocytosis.  Overexpression of this protein in yeast alters copper and zinc homeostasis.
AT1G55130.1	Gelse_mpi.v2.2_MPIG042030.1	CRO_01G002150.1	Endomembrane protein 70 protein family	Encodes an Arabidopsis Transmembrane nine (TMN) protein.  Transmembrane nine (TM9) proteins are localized in the secretory pathway of eukaryotic cells and are involved in cell adhesion and phagocytosis.
AT3G13770.1	NA	NA	Pentatricopeptide repeat (PPR) superfamily protein	NA
AT1G17665.1	Gelse_mpi.v2.2_MPIG042020.1	CRO_01G002160.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG042010.6	CRO_01G002170.1	NA	NA
AT3G13750.1	Gelse_mpi.v2.2_MPIG042000.2	CRO_01G002180.2	beta galactosidase 1	beta-galactosidase, glycosyl hydrolase family 35
AT1G55150.1	Gelse_mpi.v2.2_MPIG041990.2	CRO_01G002190.1	DEA(D/H)-box RNA helicase family protein	NA
AT1G17680.1	NA	NA	tetratricopeptide repeat (TPR)-containing protein	NA
AT3G13740.1	NA	NA	Ribonuclease III family protein	NA
AT1G55160.3	Gelse_mpi.v2.2_MPIG041980.2	CRO_01G002200.2	NA	NA
AT3G13730.1	Gelse_mpi.v2.2_MPIG041970.5	CRO_01G002210.1	cytochrome P450, family 90, subfamily D, polypeptide 1	Encodes a cytochrome P-450 gene that is involved in brassinosteroid biosynthesis, most likely in the conversion step of teasterone (TE) to 3-dehydroteasterone (3DT), and/or 6-deoxoteasterone (6-deoxoTE) to 6-deoxo-3-dehydroteasterone (6-deoxo3DT); or the conversion of cathasterone (CT) to TE, and/or 6-deoxocathasterone (6-deoxoCT) to 6-deoxoTE. Recently, CYP90D1 was shown to catalyse the C-23 hydroxylation of several brassinosteroids (the enzyme has a broad specificity for 22-hydroxylated substrates). Member of the CYP90C CYP450 family. Similar to Cytochrome P450 90C1 (ROT3).
NA	Gelse_mpi.v2.2_MPIG041960.3	NA	NA	NA
AT1G55170.1	Gelse_mpi.v2.2_MPIG041950.1	CRO_01G002220.10	NA	NA
AT1G17690.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG041940.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG041930.1	CRO_01G002230.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG041920.7	CRO_01G002240.3	NA	NA
AT1G55180.1	Gelse_mpi.v2.2_MPIG041910.1	CRO_01G002250.1	phospholipase D alpha 4	member of C2-PLD. subfamily Represents a phospholipase D (PLD) gene with four exons, hence it is a member of the alpha class.  Its amino acid sequence is quite different from other PLDs, therefore it might possess unique structural and/or catalytic properties.
AT1G17700.1	NA	NA	prenylated RAB acceptor 1.F1	NA
AT3G13700.1	Gelse_mpi.v2.2_MPIG041890.1	CRO_01G002270.2	RNA-binding (RRM/RBD/RNP motifs) family protein	NA
AT3G13710.1	Gelse_mpi.v2.2_MPIG041900.1	CRO_01G002260.1	prenylated RAB acceptor 1.F4	NA
AT1G55190.1	Gelse_mpi.v2.2_MPIG041900.1	CRO_01G002260.1	PRA1 (Prenylated rab acceptor) family protein	NA
AT3G13690.1	Gelse_mpi.v2.2_MPIG041880.9	CRO_01G002280.1	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	NA
AT3G21250.2	Gelse_mpi.v2.2_MPIG041870.5	NA	multidrug resistance-associated protein 6	member of MRP subfamily
NA	Gelse_mpi.v2.2_MPIG041860.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG041850.1	NA	NA	NA
AT1G17710.1	Gelse_mpi.v2.2_MPIG041830.1	CRO_01G002290.1	Pyridoxal phosphate phosphatase-related protein	NA
AT1G73010.1	Gelse_mpi.v2.2_MPIG041830.1	CRO_01G002290.1	phosphate starvation-induced gene 2	NA
AT1G17720.1	Gelse_mpi.v2.2_MPIG041820.3	CRO_01G002300.1	Protein phosphatase 2A, regulatory subunit PR55	type 2A protein serine/threonine phosphatase 55 kDa B
AT1G51690.3	Gelse_mpi.v2.2_MPIG041820.3	CRO_01G002300.1	protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	55 kDa B regulatory subunit of phosphatase 2A  mRNA,
NA	Gelse_mpi.v2.2_MPIG041810.1	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG041800.1	NA	NA	NA
AT3G21270.1	Gelse_mpi.v2.2_MPIG041790.1	NA	DOF zinc finger protein 2	Encodes Dof zinc finger protein adof2.
AT1G51700.1	Gelse_mpi.v2.2_MPIG041790.1	NA	DOF zinc finger protein 1	Encodes dof zinc finger protein (adof1).
NA	Gelse_mpi.v2.2_MPIG041780.1	CRO_01G002310.1	NA	NA
AT3G21280.1	Gelse_mpi.v2.2_MPIG041770.1	CRO_01G002320.1	ubiquitin-specific protease 7	Encodes a ubiquitin-specific protease.
AT1G51710.1	Gelse_mpi.v2.2_MPIG041770.1	CRO_01G002320.1	ubiquitin-specific protease 6	Ubiquitin-specific protease 6 (UBP6). Deubiquinating enzyme. Interacts with calmodulin.
AT3G21290.1	Gelse_mpi.v2.2_MPIG041760.2	CRO_01G002330.3	dentin sialophosphoprotein-related	NA
NA	Gelse_mpi.v2.2_MPIG041750.1	NA	NA	NA
AT1G51720.1	Gelse_mpi.v2.2_MPIG041740.1	CRO_01G002340.5	Amino acid dehydrogenase family protein	NA
