A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT1G77990,Gelse_mpi.v2.2_MPIG011340.1,CRO_07G011810.2,STAS domain / Sulfate transporter family,cDNA encoding a sulfate transporter.,Bundle Sheath,SULTR2;2,NA,Lee et al 2025,9
AT1G77990,Gelse_mpi.v2.2_MPIG011340.1,CRO_07G011810.2,STAS domain / Sulfate transporter family,cDNA encoding a sulfate transporter.,Bundle Sheath,SULTR2;2,NA,Lee et al 2025,12
AT1G77990,Gelse_mpi.v2.2_MPIG011340.1,CRO_07G011810.2,STAS domain / Sulfate transporter family,cDNA encoding a sulfate transporter.,Bundle Sheath,SULTR2;2,NA,Lee et al 2025,18
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,4
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,8
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,9
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,12
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,17
AT1G71695,Gelse_mpi.v2.2_MPIG012450.1,CRO_07G012960.1,Peroxidase superfamily protein,NA,Epidermis,AT1G71695,Leaf,Lee et al 2025,18
AT4G15530,Gelse_mpi.v2.3_MPIG028590.1,CRO_07G015360.2,pyruvate orthophosphate dikinase,"Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.",Cortex,PPDK,Stem,Lee et al 2025,17
AT4G13840,Gelse_mpi.v2.3_MPIG021610.1,CRO_07G015670.1,HXXXD-type acyl-transferase family protein,NA,Epidermis,AT4G13840,Leaf,Lee et al 2025,7
AT2G43290,Gelse_mpi.v2.3_MPIG002750.1,NA,Calcium-binding EF-hand family protein,Encodes calmodulin-like MSS3.,Epidermis,MSS3,Leaf,Lee et al 2025,10
AT2G43290,Gelse_mpi.v2.3_MPIG002750.1,NA,Calcium-binding EF-hand family protein,Encodes calmodulin-like MSS3.,Epidermis,MSS3,Leaf,Lee et al 2025,14
AT2G43290,Gelse_mpi.v2.3_MPIG002750.1,NA,Calcium-binding EF-hand family protein,Encodes calmodulin-like MSS3.,Epidermis,MSS3,Leaf,Lee et al 2025,15
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,0
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,2
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,3
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,6
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,8
AT4G10340,Gelse_mpi.v2.2_MPIG015790.1,CRO_08G000160.1,light harvesting complex of photosystem II 5,photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus,Mesophyll,Lhcb5,Leaf,Lee et al 2025,13
AT1G19330,Gelse_mpi.v2.2_MPIG004500.5,CRO_08G001800.2,NA,NA,Epidermis,AT1G19330,Leaf,Lee et al 2025,4
AT1G19330,Gelse_mpi.v2.2_MPIG004500.5,CRO_08G001800.2,NA,NA,Epidermis,AT1G19330,Leaf,Lee et al 2025,9
AT1G19330,Gelse_mpi.v2.2_MPIG004500.5,CRO_08G001800.2,NA,NA,Epidermis,AT1G19330,Leaf,Lee et al 2025,12
AT1G75500,Gelse_mpi.v2.2_MPIG003160.1,CRO_08G002860.1,Walls Are Thin 1,"An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific, predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3).",Epidermis,WAT1,Leaf,Lee et al 2025,12
AT1G75500,Gelse_mpi.v2.2_MPIG003160.1,CRO_08G002860.1,Walls Are Thin 1,"An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific, predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3).",Epidermis,WAT1,Leaf,Lee et al 2025,18
AT1G19850,Gelse_mpi.v2.2_MPIG002790.4,CRO_08G003200.6,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related,"Encodes a transcription factor (IAA24) mediating embryo axis formation and vascular development. Similar to AUXIN RESPONSIVE FACTOR 1 (ARF1) shown to bind to auxin responsive elements (AREs), and to the maize transcriptional activator VIVIPAROUS 1( VP1). In situ hybridization shows expression in provascular tissue of embryos, the emerging shoot primordia, then is restricted to provascular tissue, and in the root central vascular cylinder.",Procambium_XP,ARF5,Stem/Leaf,Li et al 2023; Lee et al 2025,9
AT5G41900,Gelse_mpi.v2.7_MPIG000530.1,CRO_08G004460.1,alpha/beta-Hydrolases superfamily protein,NA,Epidermis,AT5G41900,Leaf,Lee et al 2025,7
AT5G41900,Gelse_mpi.v2.7_MPIG000530.1,CRO_08G004460.1,alpha/beta-Hydrolases superfamily protein,NA,Epidermis,AT5G41900,Leaf,Lee et al 2025,16
AT1G64670,Gelse_mpi.v2.7_MPIG000530.1,CRO_08G004460.1,alpha/beta-Hydrolases superfamily protein,"Encodes a epidermally expressed extracellular protein that likely functions as an alpha-beta hydrolase and is required for normal cuticle formation. Homozygous mutant plants are dwarfed and have abnormal leaves, collapsed cells, reduced numbers of trichomes. The specific role of BDG is unclear: it may function in cutin biosynthesis or as a cross-linking enzyme in the cell wall itself.",Epidermis,BDG1,Leaf,Lee et al 2025,7
AT1G64670,Gelse_mpi.v2.7_MPIG000530.1,CRO_08G004460.1,alpha/beta-Hydrolases superfamily protein,"Encodes a epidermally expressed extracellular protein that likely functions as an alpha-beta hydrolase and is required for normal cuticle formation. Homozygous mutant plants are dwarfed and have abnormal leaves, collapsed cells, reduced numbers of trichomes. The specific role of BDG is unclear: it may function in cutin biosynthesis or as a cross-linking enzyme in the cell wall itself.",Epidermis,BDG1,Leaf,Lee et al 2025,16
AT4G21480,Gelse_mpi.v2.1_MPIG017180.1,CRO_08G009570.1,sugar transporter protein 12,Putative sugar transporter.  Expressed in nematode-induced root syncytia.,Trichome,AT4G21480,Leaf,Lee et al 2025,19
AT4G21620,Gelse_mpi.v2.1_MPIG017550.1,CRO_08G009920.1,glycine-rich protein,NA,Epidermis,AT4G21620,Leaf,Lee et al 2025,20
AT5G45950,Gelse_mpi.v2.1_MPIG019360.1,CRO_08G011640.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT5G45950,Leaf,Lee et al 2025,1
AT5G45950,Gelse_mpi.v2.1_MPIG019360.1,CRO_08G011640.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT5G45950,Leaf,Lee et al 2025,7
AT4G18570,Gelse_mpi.v2.1_MPIG019910.2,CRO_08G012150.1,Tetratricopeptide repeat (TPR)-like superfamily protein,NA,Epidermis,AT4G18570,Leaf,Lee et al 2025,10
AT2G34070,Gelse_mpi.v2.1_MPIG019930.1,CRO_08G012170.1,TRICHOME BIREFRINGENCE-LIKE 37,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).",Procambium_XP,TBL37,Leaf,Lee et al 2025,12
AT2G34070,Gelse_mpi.v2.1_MPIG019930.1,CRO_08G012170.1,TRICHOME BIREFRINGENCE-LIKE 37,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).",Procambium_XP,TBL37,Leaf,Lee et al 2025,19
AT5G17170,Gelse_mpi.v2.1_MPIG000680.1,CRO_08G013170.3,rubredoxin family protein,NA,Mesophyll,ENH1,NA,Lee et al 2025,0
AT5G17170,Gelse_mpi.v2.1_MPIG000680.1,CRO_08G013170.3,rubredoxin family protein,NA,Mesophyll,ENH1,NA,Lee et al 2025,8
AT3G49530,Gelse_mpi.v2.1_MPIG001090.2,CRO_08G013510.1,NAC domain containing protein 62,Transcription factor that serves as a molecular link between cold signals and pathogen resistance  responses.  Undergoes proteolytic processing triggered by cold-induced changes in membrane fluidity.,Cortex,NAC062,Stem,Lee et al 2025,1
AT3G49530,Gelse_mpi.v2.1_MPIG001090.2,CRO_08G013510.1,NAC domain containing protein 62,Transcription factor that serves as a molecular link between cold signals and pathogen resistance  responses.  Undergoes proteolytic processing triggered by cold-induced changes in membrane fluidity.,Cortex,NAC062,Stem,Lee et al 2025,2
AT3G49530,Gelse_mpi.v2.1_MPIG001090.2,CRO_08G013510.1,NAC domain containing protein 62,Transcription factor that serves as a molecular link between cold signals and pathogen resistance  responses.  Undergoes proteolytic processing triggered by cold-induced changes in membrane fluidity.,Cortex,NAC062,Stem,Lee et al 2025,10
AT5G54160,Gelse_mpi.v2.1_MPIG001180.2,CRO_08G013620.1,O-methyltransferase 1,A caffeic acid/5-hydroxyferulic acid O-methyltransferase. Interacts with 14-4-3 proteins in yeast 2 hybrid assay.  AtOMT1 (At5g54160) encodes a flavonol 3-O-methyltransferase that is highly active towards quercetin and myricetin. The substrate specificity identifies the enzyme as flavonol 3-methyltransferase which replaces the former annotation of the gene to encode a caffeic acid/5-hydroxyferulic acid O-methyltransferase,Procambium_XP,OMT1,Leaf,Lee et al 2025,12
AT3G49220,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Epidermis,AT3G49220,Leaf,Lee et al 2025,3
AT3G49220,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Epidermis,AT3G49220,Leaf,Lee et al 2025,6
AT3G49220,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Epidermis,AT3G49220,Leaf,Lee et al 2025,13
AT3G49220,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Epidermis,AT3G49220,Leaf,Lee et al 2025,18
AT5G53370,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,pectin methylesterase PCR fragment F,NA,Trichome,AT5G53370,Leaf,Lee et al 2025,3
AT5G53370,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,pectin methylesterase PCR fragment F,NA,Trichome,AT5G53370,Leaf,Lee et al 2025,6
AT5G53370,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,pectin methylesterase PCR fragment F,NA,Trichome,AT5G53370,Leaf,Lee et al 2025,13
AT5G53370,Gelse_mpi.v2.1_MPIG002070.1,CRO_08G014710.1,pectin methylesterase PCR fragment F,NA,Trichome,AT5G53370,Leaf,Lee et al 2025,18
AT1G05870,Gelse_mpi.v2.3_MPIG002300.1,CRO_08G016550.1,Protein of unknown function (DUF1685),NA,Epidermis,AT1G05870,Leaf,Lee et al 2025,1
AT1G05870,Gelse_mpi.v2.3_MPIG002300.1,CRO_08G016550.1,Protein of unknown function (DUF1685),NA,Epidermis,AT1G05870,Leaf,Lee et al 2025,7
AT2G02450,Gelse_mpi.v2.4_MPIG004850.1,CRO_08G017260.2,NAC domain containing protein 35,NA,Abaxial epidermal,ANAC034,Leaf,Lee et al 2025,15
AT1G56600,Gelse_mpi.v2.4_MPIG006270.1,CRO_08G018740.1,galactinol synthase 2,NA,Epidermis,GolS2,Leaf,Lee et al 2025,15
AT1G56580,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538","Encodes SMALLER WITH VARIABLE BRANCHES (SVB), a protein with a conserved domain of unknown function (DUF538).  The trichomes of the SVB mutants are smaller and exhibit branches of variable length and number.",Epidermis,SVB,Leaf,Lee et al 2025,1
AT1G56580,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538","Encodes SMALLER WITH VARIABLE BRANCHES (SVB), a protein with a conserved domain of unknown function (DUF538).  The trichomes of the SVB mutants are smaller and exhibit branches of variable length and number.",Epidermis,SVB,Leaf,Lee et al 2025,7
AT1G56580,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538","Encodes SMALLER WITH VARIABLE BRANCHES (SVB), a protein with a conserved domain of unknown function (DUF538).  The trichomes of the SVB mutants are smaller and exhibit branches of variable length and number.",Epidermis,SVB,Leaf,Lee et al 2025,15
AT1G09310,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538",NA,Epidermis,AT1G09310,Leaf,Lee et al 2025,1
AT1G09310,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538",NA,Epidermis,AT1G09310,Leaf,Lee et al 2025,7
AT1G09310,Gelse_mpi.v2.4_MPIG006380.2,CRO_08G018870.1,"Protein of unknown function, DUF538",NA,Epidermis,AT1G09310,Leaf,Lee et al 2025,15
AT1G56220,Gelse_mpi.v2.4_MPIG007570.1,CRO_08G020210.1,Dormancy/auxin associated family protein,NA,Trichome,AT1G56220,Leaf,Lee et al 2025,1
AT1G56220,Gelse_mpi.v2.4_MPIG007570.1,CRO_08G020210.1,Dormancy/auxin associated family protein,NA,Trichome,AT1G56220,Leaf,Lee et al 2025,7
AT1G56220,Gelse_mpi.v2.4_MPIG007570.1,CRO_08G020210.1,Dormancy/auxin associated family protein,NA,Trichome,AT1G56220,Leaf,Lee et al 2025,15
AT5G27360,Gelse_mpi.v2.4_MPIG009280.1,CRO_08G022230.6,Major facilitator superfamily protein,"Encodes a sugar-porter family protein that unlike the closely related gene, SFP1, is not induced during leaf senescence.",Epidermis,SFP2,Leaf,Lee et al 2025,1
AT5G27360,Gelse_mpi.v2.4_MPIG009280.1,CRO_08G022230.6,Major facilitator superfamily protein,"Encodes a sugar-porter family protein that unlike the closely related gene, SFP1, is not induced during leaf senescence.",Epidermis,SFP2,Leaf,Lee et al 2025,7
AT1G08920,Gelse_mpi.v2.4_MPIG009280.1,CRO_08G022230.6,ERD (early response to dehydration) six-like 1,"Encodes ESL1, a transporter for monosaccharides.",Trichome,AT1G08920,Leaf,Lee et al 2025,1
AT1G08920,Gelse_mpi.v2.4_MPIG009280.1,CRO_08G022230.6,ERD (early response to dehydration) six-like 1,"Encodes ESL1, a transporter for monosaccharides.",Trichome,AT1G08920,Leaf,Lee et al 2025,7
AT5G17860,Gelse_mpi.v2.8_MPIG004650.2,CRO_08G025340.1,calcium exchanger 7,NA,Mesophyll,CAX7,Leaf,Lee et al 2025,20
AT3G55120,Gelse_mpi.v2.1_MPIG010060.1,CRO_08G028180.1,Chalcone-flavanone isomerase family protein,Catalyzes the conversion of chalcones into flavanones. Required for the accumulation of purple anthocyanins in leaves and stems.,Epidermis,TT5,Leaf,Lee et al 2025,1
AT3G55120,Gelse_mpi.v2.1_MPIG010060.1,CRO_08G028180.1,Chalcone-flavanone isomerase family protein,Catalyzes the conversion of chalcones into flavanones. Required for the accumulation of purple anthocyanins in leaves and stems.,Epidermis,TT5,Leaf,Lee et al 2025,6
AT3G55120,Gelse_mpi.v2.1_MPIG010060.1,CRO_08G028180.1,Chalcone-flavanone isomerase family protein,Catalyzes the conversion of chalcones into flavanones. Required for the accumulation of purple anthocyanins in leaves and stems.,Epidermis,TT5,Leaf,Lee et al 2025,7
AT3G55120,Gelse_mpi.v2.1_MPIG010060.1,CRO_08G028180.1,Chalcone-flavanone isomerase family protein,Catalyzes the conversion of chalcones into flavanones. Required for the accumulation of purple anthocyanins in leaves and stems.,Epidermis,TT5,Leaf,Lee et al 2025,13
AT1G18210,Gelse_mpi.v2.2_MPIG036980.1,CRO_08G031850.1,Calcium-binding EF-hand family protein,NA,Procambium_PP,AT1G18210,Leaf,Lee et al 2025,7
AT1G18210,Gelse_mpi.v2.2_MPIG036980.1,CRO_08G031850.1,Calcium-binding EF-hand family protein,NA,Procambium_PP,AT1G18210,Leaf,Lee et al 2025,20
